,customer_Id,city_code,transaction_id,cust_id,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,prod_sub_cat_code
min,266783.0,1.0,3268991.0,266783.0,1.0,1.0,-5.0,-1499.0,7.35,-8270.925,1.0
max,275265.0,10.0,99987549630.0,275265.0,12.0,6.0,5.0,1500.0,787.5,8287.5,12.0
Q1,268956.0,3.0,24921504416.0,268956.0,4.0,3.0,1.0,313.0,98.28,762.45,4.0
median,270982.0,5.0,50110833106.0,270982.0,7.0,5.0,3.0,713.0,199.92,1761.37,7.0
75%,273120.0,8.0,75281214424.0,273120.0,10.0,5.0,4.0,1109.0,366.975,3585.725,10.0
